id,predicted_pages
492,"['伍迪·艾倫', '伍迪·艾倫獲獎與提名列表', '艾倫', '煩躁', '神經質', '情緒']"
9107,"['螢光燈', '燈', '電流', '電', '汞', '電磁波', '可見光', '波長', '光']"
4270,"['華南師範大學', '1970年', '學院', '1977年', '年', '1982年', '現在', '名稱']"
2423,"['新聞聯播', '收視率', '中國', '節目', '北京時間', '時間']"
5450,"['屬', '生物分類學', '分類學']"
7055,['康沃爾冰川']
7549,"['西', '毒魚豆', '魚']"
2740,"['美國總統', '美國', '總統', '亞伯拉罕·林肯', '亞伯拉罕·林肯總統圖書館和博物館', '亞伯拉罕·林肯號航空母艦', '亞伯拉罕·林肯雕像_(林肯紀念堂)', '羅伯特·託德·林肯', '蓋茲堡演說']"
4626,"['中國', '張京澤', '中央民族大學', '黨委書記', '書記']"
6350,"['張谷英村', '張谷英', '中國', '佈局_(圍棋)', '地形', '排水']"
8609,"['臺北市私立道明外僑學校', '臺北市']"
954,['鎖麟囊']
8599,"['矮子丕平', '丕平·卡洛曼', '丕平·卡洛曼', '查理曼', '查理·曼紐爾']"
8504,"['神農', '肢', '透明', '內臟']"
1506,"['木衛三', '希臘神話', '希臘', '神話']"
1924,"['神農', '氏', '傳說']"
8912,"['保守主義', '政黨', '政治人物', '斯科特·布赫茲', '海因裏希·赫茲', '古斯塔夫·赫茲']"
3875,"['進士', '沈鈞儒', '祖籍', '江蘇省_(中華民國)', '人']"
4497,"['悖論', '法律邏輯學', '邏輯']"
2530,"['香港', '演員', '黃秋生', 'Sunny_Passion', 'Sunny_Summer', 'Sunny_Hill', 'Sunny_Day·好心情', 'Sunny_King', 'Street_(EXID專輯)', 'Street_Dancer']"
5065,"['冰島語', '古諾斯語', '冰島', '人', '維京時代', '時代', '文學', '古代文學', '夏爾·古諾', '分支']"
651,"['資本主義政治經濟學', '資本主義', '政治經濟學', '亞當·斯密', '亞當·斯密問題', '亞當·密茨凱維奇', '亞當·史密斯_(1992年出生足球運動員)', '國富論', '代表作', '市場']"
1601,"['隼科', '隼', '科', '虛幻_(電視劇)', '性', '猛禽']"
8024,"['粗糙擬迷孔菌', '菌']"
3189,"['ACM', 'ACM_電腦分類系統', 'SIG', 'SIG_33步兵炮', 'SIG_P239手槍', 'SIG_P229半自動手槍', 'SIG_Pro半自動手槍', 'SIG_P250手槍', 'SIG_P210手槍', 'SIG_SG_510自動步槍']"
9023,"['六盤水市', '中國', '礦產資源']"
4484,"['性愉悅', '刺激_(心理學)', '人']"
3787,"['複合材料', '玻璃纖維', '材料', '纖維']"
6127,"['張其昀', '行政院院長', '行政院']"
3031,"['中國', '近代', '思想家', '思想', '康有爲', '1901年', '大同書', '大同', '未來', '社會']"
3482,"['輕機槍', '班_(軍事)', '士兵', '通用機槍', '機槍', '自動步槍', '步槍']"
6517,"['猶太教與基督教', '猶太教', '基督教', '聖經', '使徒_(基督教)', '經過', '世界', '新約']"
3617,"['羅榮桓', '中華人民共和國元帥', '元帥', '軍銜', '中華人民共和國']"
4552,"['隋煬帝', '考試', '佳麗', '後宮', '制度']"
3591,"['1970年', '年', '中華人民共和國地質礦產部', '中華人民共和國']"
1072,"['天衛五', '米蘭達·凱爾', '若奧·米蘭達·德索薩·菲略', '米蘭達·蔻思葛芙', '米蘭達·霍布斯', '米蘭達·蘭伯特', '胡安·米蘭達', '林曼努爾·米蘭達', '名稱', '尼可拉斯·莎士比亞']"
8274,"['李祖德', '臺北', '牙醫學系', '臺北醫學大學', '經營者']"
4171,"['地震波', '地震', '反射', '次聲波', '聲波', '波', '檢測', '海嘯']"
3182,"['宋教仁', '國民黨_(1912年)', '中華民國', '政治家']"
5115,"['賀龍體育文化中心', '文化中心', '賀龍', '大灣', '灣裏_(臺南市)', '大灣裏_(高雄市)']"
1184,"['歐洲民族', '歐洲', '民族國家', '民族', '國家', '語言', '人']"
1629,"['佛經', '佛教', '印度', '發展']"
1855,"['王震', '鄧小平', '改革', '開放', '政策']"
6742,"['俄羅斯', '國', '伏爾加湖', '流域']"
380,"['許世友', '農村']"
8263,"['臺中市立啓明學校', '臺中市', '1968年', '后里區', '臺灣', '特殊教育', '教育', '學校', '聽覺']"
8273,"['李祖德', '北漂', '臺北醫學大學', '經營者']"
7678,"['亞洲', '博古']"
206,"['SETI@home', '家', '外星人', '程式', '用戶_(計算機)', '個人電腦']"
4578,"['神鵰俠侶_(動畫)', '楊過', '黃蓉', '小龍女', '射鵰三部曲', '人', '三部曲', '主角_(小說)', '郭靖']"
2349,"['硫酸', '濃度', '水', '強酸', '酸']"
4830,"['潮州市', '文化']"
1366,"['羅馬', '維納斯', '紀念日']"
7239,"['太平洋戰爭', '太平洋_(電視劇)', '戰爭', '人力', '力', '臺北製糖所', '臺北', '製糖']"
854,['黑血_(漫畫)']
6965,"['全買', '買', '臺灣', '動物', '代表', '象徵']"
1820,"['藥', '溴']"
8111,['意見']
3381,"['殖民主義', '領土']"
1237,"['歐洲民族', '歐洲', '民族國家', '民族', '地區', '語言', '人']"
1879,"['教育', '力']"
5511,"['粵菜', '貿易', '興盛', '移民', '廚師', '美國']"
7991,"['謝芳', '中國', '演員']"
2314,"['艾根訴加拿大案', '奧林·艾根', '曼弗雷德·艾根', '加拿大', '案', '行政機關', '配偶']"
5206,"['光學顯微鏡', '顯微鏡', '透鏡', '成像', '凸', '像', '肉眼']"
4587,"['太行山', '山脈', '中國', '山西省_(中華民國)', '河北省_(中華民國)']"
3372,"['公海艦隊自沉事件', '節', '公海艦隊', '事件', '斯卡帕灣', '地', '商船']"
8285,"['索爾維會議', '布魯塞爾', '1927年', '年', '索爾·勒維特', '會議', '們', '諾貝爾獎']"
4035,"['族', '牛亞科', '生物分類學', '分類學', '科_(生物)', '親屬', '動物']"
1949,"['汶萊', '東南亞', '邦', '一·二八事變', '國家']"
1658,"['薇拉·費茲傑羅', '喬治·費茲傑羅', '大亨小傳_(2013年電影)', '雜誌', '編輯']"
4550,"['隋煬帝', '考試', '宰相', '制度']"
5035,"['昆蟲', '捕食', '花粉', '角色']"
4540,"['外爾特徵標公式', '分佈式參數系統', '德拉姆上同調', '可解羣', 'GNU Octave', '第一屆國民大會第一次會議', 'Mozilla Thunderbird', '開放街圖', '秦煌', '大五碼']"
2705,"['Apple_M1', 'Apple_M1_Pro和M1_Max', 'Apple_Music', 'Apple_Watch_Series_2', 'Apple_Pencil', 'Apple_S1', 'Apple_II', 'Apple_Watch', 'Apple_TV', 'Apple_III']"
8754,"['臺灣總督', '總督', '臺灣', '日治時期', '天皇']"
6219,"['托馬斯·霍布斯', '托馬斯·曼', '托馬斯·品欽', '托馬斯·庫恩', '托馬斯·潘恩', '托馬斯·蒙塔古', '托馬斯·恩奎斯特', '帕斯庫亞爾·托馬斯', '托馬斯·傑斐遜', '庫恩']"
5624,"['列昂尼德·勃列日涅夫', '列昂尼德·勃列日涅夫的影響', '列昂尼德·勃列日涅夫之死及葬禮', '列昂尼德·勃列日涅夫遇刺案', '列昂尼德·勃列日涅夫的影響', '尤里·勃列日涅夫', '列昂尼德·勃列日涅夫所獲獎項列表', '安德烈·尤里耶維奇·勃列日涅夫', '政權', '蘇聯']"
5957,"['蒲公英', '分裂_(生物學)', '配子', '個體']"
5313,"['小米', '鐵器時代']"
8728,"['模特兒', '香港', '馬詩慧', '雙性戀']"
4293,"['九江市', '人口', '人']"
4499,"['英國皇家徽章', '英國', '獅', '獨角獸', '古法語', '法語']"
3082,"['竹內瑪莉亞', '演藝界', '日本']"
2125,"['研究', '經典力學', '力學', '進步_(雜誌)']"
3365,"['電子藝術大獎', '2004年', '組別_(體育)', '21世紀', '世紀', '維基百科']"
5696,"['希臘神話', '希臘', '神話', '藝術品', '神', '故事', '考古學', '證明']"
1603,"['隼科', '隼', '動物', '鳥', '科', '性', '猛禽']"
7074,"['避病院', '法定傳染病', '醫院', '臺南避病院']"
8334,"['汾河', '中國人', '母親', '河', '上游', '太原市', '水源']"
6326,"['本名', '血型', '德國', '漫畫家', '藤子·F·不二雄', '藤子·F·不二雄創作', '藤子·F·不二雄博物館', '哆啦A夢', '作者', '奇天烈大百科']"
1010,['電子科技大學']
2273,"['宗教哲學', '宗教', '哲學', '人', '學術']"
1954,"['威廉·亨利·哈里森', '1840年威廉·亨利·哈里森競選美國總統', '本傑明·哈里森', '美國', '總統', '美國總統']"
7425,"['盧卡斯·迪奧多斯基', '盧卡斯·波多爾斯基', '盧卡斯·巴里奧斯', '盧卡斯·奧坎波斯', '波蘭']"
2071,"['葡萄', '果實']"
1337,"['林登·約翰遜', '鮑里斯·約翰遜', '斯蒂夫·約翰遜', '克里斯·約翰遜', '肖恩·約翰遜', '鮑里斯·約翰遜', '塞繆爾·約翰遜']"
1056,['單片機']
7304,"['超人', '1998年', '動作漫畫']"
8295,"['分鐘', '圖示_(範疇論)', '字', '複數']"
7966,"['俄羅斯', '少數民族', '楚瓦什人', '拼音文字', '文字', '日耳曼語族', '一·二八事變']"
2436,"['20世紀', '世紀', '法國', '奧地利', '北歐', '文學', '藝術', '表現主義', '畫家', '作品']"
3287,"['彌涅耳瓦', '羅馬女神', '女神', '羅馬', '宇宙', '命運', '摧毀者']"
839,"['園林設計', '園林', '價值觀']"
8571,"['史考特·朗恩', '麥可·史考特', '雷利·史考特', '西恩·威廉·史考特', '克莉斯汀·史考特·湯瑪斯', '史考特·普魯特', '蒙哥馬利·史考特', '史考特·詹森', '史考特·米蘭', '南極洲']"
808,['豫劇']
1247,"['歐洲民族', '歐洲', '民族國家', '民族', '地區', '語言', '人']"
7059,"['甘尼夫卡_(布利茲紐基區)', '布利茲紐基區', '布利茲紐基', '人']"
4551,"['隋煬帝', '考試', '制度', '政策']"
4475,"['中國共產黨', '鄧小平理論', '中國', '社會主義初級階段', '社會主義', '鄧小平', '理論']"
4151,"['木衛四', '衛', '地表', '處_(佛教)', '海']"
8652,"['臺南市', '臺北市', '臺北市客家文化主題公園', '中正區_(臺北市)', '2008年']"
8889,"['1990年', '醫療疏失', '全球', '死亡', '2013年', '人']"
6303,"['弗朗西斯·科波拉', '美國風情畫', '美國']"
1462,"['諾維亞語', '語言']"
6571,"['侯孝賢', '電影', '威尼斯', '金獅獎']"
7735,"['伊拉克戰爭', '美國', '伊拉克', '戰爭', '醜聞', '美國總統', '總統', '2010年8月', '2010年']"
5161,"['鑽石', '樞要寶石', '硬度', '藍絲黛爾石', '物質']"
8446,"['克氏無齒翎電鰻', '電鰻', '美洲']"
7014,"['楊梅區', '桃園市', '中華民國', '南部', '楊梅_(大字)']"
5100,"['奧迪', '環', 'Audi_Sport', 'Audi_Sport']"
507,"['鐒', '名稱', '艾伯特·吉奧索']"
1894,"['民進黨_(日本)', '民進', '黨', '謝長廷']"
3045,"['索爾', '雷神_(電影)', '費爾南多·索爾', '神', '安全', '人間', '雷雨_(話劇)', '馬車']"
7400,"['塘湖站', '郵政編碼', '濟寧市', '鐵路車站']"
7477,"['黛安娜', '父親', '第八代史賓賽伯爵約翰·史賓賽', '第九代史賓賽伯爵查爾斯·史賓賽', '第四代史賓賽伯爵腓特烈·史賓賽', '第二代史賓賽伯爵喬治·史賓賽', '第七代史賓賽伯爵阿爾伯特·史賓賽', '第六代史賓賽伯爵查爾斯·史賓賽']"
944,"['奈尼塔爾', '北阿坎德邦', '北', '法院']"
6130,"['高等教育', '教育', '司', '張其昀']"
4593,"['軟件測試', '軟件', '測試', '方法']"
2227,"['東晉', '琅琊', '字']"
2773,"['韓式泡菜', '泡菜', '醃', '法', '問題', '卡路里', '2012年', '健康', '世界']"
4419,"['紀傳體', '通史', '司馬光', '司馬孚', '西晉']"
88,"['樂山大佛', '大佛']"
1584,"['草莓', '人類', '果實', '果', '附果', '物']"
7831,"['古希臘哲學', '哲學', '希臘', '古希臘']"
8178,"['李祖德', '臺灣', '臺北醫學大學', '經營者']"
344,"['球', '方向_(中將)']"
6836,"['元朝', '曲樞', '真金', '妃', '元武宗', '武宗', '應國', '國公', '元順帝', '元順']"
2180,"['水力帝國', '帝國', '錢幣_(塔羅牌)', '人口']"
3027,"['山下達郎', '歌手', '歌手·當打之年', '日本']"
443,"['許世友', '派系', '紅軍']"
5122,"['臺北市萬華區老松國民小學', '萬華區', '臺北市']"
4454,"['一邊一國', '邊', '國', '中國']"
971,"['吸血鬼', '處_(佛教)', '文化革命_(蘇聯)']"
8622,"['臺北市立聯合醫院', '聯合醫院', '臺北', '醫院', '院長', '新北市政府', '衛生局', '新北市']"
4327,"['中國', '馮端', '中國人', '晶體']"
5938,"['馴化', '人類', '雞', '飛行', '鳥']"
